"","0.05","0.1","0.15","0.2","0.25","0.3"
"1000",336763.645673587,336918.210872966,337704.760705377,339758.071721122,336809.168085093,336923.90256107
"1500",350458.953038492,336795.533113866,336758.834732528,337171.956351548,336799.749511616,338064.382654265
"2000",338379.554348863,785837.863615251,336750.720156414,359076.609886559,339866.835693176,336763.18041768
